# x z Pressure 
0.113439 5.59015 348.995
0.146788 5.59015 349.031
0.189941 5.59015 349.068
0.24578 5.59015 349.104
0.318035 5.59015 349.14
0.411531 5.59015 349.176
0.532514 5.59015 349.212
0.689063 5.59015 349.248
0.891635 5.59015 349.285
1.15376 5.59015 349.321
1.49294 5.59015 349.357
1.93184 5.59015 349.393
2.49976 5.59015 349.429
3.23465 5.59015 349.465
4.18558 5.59015 349.5
5.41606 5.59015 349.535
7.00828 5.59015 349.57
9.06858 5.59015 349.603
11.7346 5.59015 349.635
15.1843 5.59015 349.666
19.6482 5.59015 349.695
25.4244 5.59015 349.721
32.8988 5.59015 349.744
42.5704 5.59015 349.764
55.0853 5.59015 349.781
71.2793 5.59015 349.796
92.2341 5.59015 349.808
119.349 5.59015 349.818
154.436 5.59015 349.828
199.837 5.59015 349.838
258.585 5.59015 349.847
334.604 5.59015 349.856
432.972 5.59015 349.865
560.258 5.59015 349.873
724.963 5.59015 349.882
938.089 5.59015 349.891
1213.87 5.59015 349.899
1570.72 5.59015 349.906
2032.49 5.59015 349.912
2630 5.59015 349.915
0.113439 16.7704 349.734
0.146788 16.7704 349.734
0.189941 16.7704 349.734
0.24578 16.7704 349.734
0.318035 16.7704 349.734
0.411531 16.7704 349.734
0.532514 16.7704 349.734
0.689063 16.7704 349.734
0.891635 16.7704 349.734
1.15376 16.7704 349.734
1.49294 16.7704 349.734
1.93184 16.7704 349.735
2.49976 16.7704 349.735
3.23465 16.7704 349.735
4.18558 16.7704 349.736
5.41606 16.7704 349.737
7.00828 16.7704 349.739
9.06858 16.7704 349.741
11.7346 16.7704 349.745
15.1843 16.7704 349.749
19.6482 16.7704 349.755
25.4244 16.7704 349.762
32.8988 16.7704 349.77
42.5704 16.7704 349.779
55.0853 16.7704 349.789
71.2793 16.7704 349.799
92.2341 16.7704 349.809
119.349 16.7704 349.819
154.436 16.7704 349.828
199.837 16.7704 349.838
258.585 16.7704 349.847
334.604 16.7704 349.856
432.972 16.7704 349.865
560.258 16.7704 349.873
724.963 16.7704 349.882
938.089 16.7704 349.891
1213.87 16.7704 349.899
1570.72 16.7704 349.906
2032.49 16.7704 349.912
2630 16.7704 349.915
0.113439 27.9507 349.778
0.146788 27.9507 349.778
0.189941 27.9507 349.778
0.24578 27.9507 349.778
0.318035 27.9507 349.778
0.411531 27.9507 349.778
0.532514 27.9507 349.778
0.689063 27.9507 349.778
0.891635 27.9507 349.778
1.15376 27.9507 349.778
1.49294 27.9507 349.778
1.93184 27.9507 349.778
2.49976 27.9507 349.778
3.23465 27.9507 349.778
4.18558 27.9507 349.778
5.41606 27.9507 349.778
7.00828 27.9507 349.779
9.06858 27.9507 349.779
11.7346 27.9507 349.78
15.1843 27.9507 349.78
19.6482 27.9507 349.782
25.4244 27.9507 349.784
32.8988 27.9507 349.787
42.5704 27.9507 349.792
55.0853 27.9507 349.797
71.2793 27.9507 349.804
92.2341 27.9507 349.811
119.349 27.9507 349.82
154.436 27.9507 349.829
199.837 27.9507 349.838
258.585 27.9507 349.847
334.604 27.9507 349.856
432.972 27.9507 349.865
560.258 27.9507 349.873
724.963 27.9507 349.882
938.089 27.9507 349.891
1213.87 27.9507 349.899
1570.72 27.9507 349.906
2032.49 27.9507 349.912
2630 27.9507 349.915
0.113439 39.131 349.79
0.146788 39.131 349.79
0.189941 39.131 349.79
0.24578 39.131 349.79
0.318035 39.131 349.79
0.411531 39.131 349.79
0.532514 39.131 349.79
0.689063 39.131 349.79
0.891635 39.131 349.79
1.15376 39.131 349.79
1.49294 39.131 349.79
1.93184 39.131 349.79
2.49976 39.131 349.79
3.23465 39.131 349.79
4.18558 39.131 349.79
5.41606 39.131 349.79
7.00828 39.131 349.79
9.06858 39.131 349.791
11.7346 39.131 349.791
15.1843 39.131 349.791
19.6482 39.131 349.792
25.4244 39.131 349.793
32.8988 39.131 349.795
42.5704 39.131 349.797
55.0853 39.131 349.801
71.2793 39.131 349.806
92.2341 39.131 349.813
119.349 39.131 349.82
154.436 39.131 349.829
199.837 39.131 349.838
258.585 39.131 349.847
334.604 39.131 349.856
432.972 39.131 349.865
560.258 39.131 349.873
724.963 39.131 349.882
938.089 39.131 349.891
1213.87 39.131 349.899
1570.72 39.131 349.906
2032.49 39.131 349.912
2630 39.131 349.915
