# time Temperature 
0 350
0.0001 313.399
0.000117681 310.694
0.000138489 308.601
0.000162975 306.8
0.000191791 305.173
0.000225702 303.668
0.000265609 302.254
0.000312572 300.915
0.000367838 299.641
0.000432876 298.426
0.000509414 297.268
0.000599484 296.165
0.00070548 295.117
0.000830218 294.123
0.00097701 293.184
0.00114976 292.299
0.00135305 291.467
0.00159228 290.688
0.00187382 289.96
0.00220513 289.282
0.00259502 288.651
0.00305386 288.065
0.00359381 287.521
0.00422924 287.016
0.00497702 286.548
0.00585702 286.113
0.00689261 285.708
0.00811131 285.328
0.00954548 284.971
0.0112332 284.632
0.0132194 284.306
0.0155568 283.991
0.0183074 283.683
0.0215443 283.38
0.0253536 283.08
0.0298365 282.781
0.0351119 282.483
0.0413201 282.185
0.048626 281.887
0.0572237 281.59
0.0673415 281.292
0.0792483 280.995
0.0932603 280.697
0.10975 280.405
0.129155 280.108
0.151991 279.81
0.178865 279.513
0.21049 279.215
0.247708 278.918
0.291505 278.62
0.343047 278.322
0.403702 278.024
0.475081 277.727
0.559081 277.429
0.657933 277.131
0.774264 276.834
0.911163 276.536
1.07227 276.238
1.26186 275.94
1.48497 275.642
1.74753 275.345
2.05651 275.047
2.42013 274.749
2.84804 274.451
3.3516 274.153
3.94421 273.855
4.64159 273.557
5.46228 273.259
6.42807 272.961
7.56463 272.663
8.90215 272.365
10.4762 272.067
12.3285 271.769
14.5083 271.471
17.0735 271.173
20.0923 270.875
23.6449 270.577
27.8256 270.279
32.7455 269.981
38.5353 269.683
45.3488 269.385
53.367 269.087
62.8029 268.789
73.9072 268.49
86.9749 268.192
102.353 267.894
120.45 267.596
141.747 267.298
166.81 266.999
196.304 266.701
231.013 266.402
271.859 266.101
319.927 265.799
376.494 265.492
443.062 265.179
521.401 264.854
613.591 264.51
722.081 264.14
849.753 263.731
1000 263.27
